task_id: 0
generator: gen_task_1_copy
samples_per_length: 200
seed: 0

  length    accuracy     avg_steps   max_steps   visible_avg   visible_max     total_avg     total_max   n_failures
       1      1.0000          1.00           1          2.00             2          2.00             2            0
       2      1.0000          1.00           1          3.00             3          3.00             3            0
       3      1.0000          1.00           1          4.00             4          4.00             4            0
       4      1.0000          6.00           6          6.17             9          7.33             9            0
       5      1.0000          6.00           6          7.33            11          8.67            11            0
       6      1.0000          6.00           6          8.50            13         10.00            13            0
       7      1.0000          8.00           8          9.12            15         12.00            15            0
       8      1.0000          8.00           8         10.12            17         13.25            17            0
       9      1.0000          8.00           8         11.12            19         14.50            19            0
      10      1.0000         10.00          10         11.80            21         16.60            21            0
      11      1.0000         10.00          10         12.70            23         17.80            23            0
      12      1.0000         10.00          10         13.60            25         19.00            25            0
      13      1.0000         12.00          12         14.33            27         21.17            27            0
      14      1.0000         12.00          12         15.17            29         22.33            29            0
      15      1.0000         12.00          12         16.00            31         23.50            31            0
      16      1.0000         14.00          14         16.79            33         25.71            33            0
      17      1.0000         14.00          14         17.57            35         26.86            35            0
      18      1.0000         14.00          14         18.36            37         28.00            37            0
      19      1.0000         16.00          16         19.19            39         30.25            39            0
      20      1.0000         16.00          16         19.94            41         31.38            41            0
      21      1.0000         16.00          16         20.69            43         32.50            43            0
      22      1.0000         18.00          18         21.56            45         34.78            45            0
      23      1.0000         18.00          18         22.28            47         35.89            47            0
      24      1.0000         18.00          18         23.00            49         37.00            49            0
      25      1.0000         20.00          20         23.90            51         39.30            51            0
      26      1.0000         20.00          20         24.60            53         40.40            53            0
      27      1.0000         20.00          20         25.30            55         41.50            55            0
      28      1.0000         22.00          22         26.23            57         43.82            57            0
      29      1.0000         22.00          22         26.91            59         44.91            59            0
      30      1.0000         22.00          22         27.59            61         46.00            61            0
      31      1.0000         24.00          24         28.54            63         48.33            63            0
      32      1.0000         24.00          24         29.21            65         49.42            65            0
      33      1.0000         24.00          24         29.88            67         50.50            67            0
      34      1.0000         26.00          26         30.85            69         52.85            69            0
      35      1.0000         26.00          26         31.50            71         53.92            71            0
      36      1.0000         26.00          26         32.15            73         55.00            73            0
      37      1.0000         28.00          28         33.14            75         57.36            75            0
      38      1.0000         28.00          28         33.79            77         58.43            77            0
      39      1.0000         28.00          28         34.43            79         59.50            79            0
      40      1.0000         30.00          30         35.43            81         61.87            81            0
      41      1.0000         30.00          30         36.07            83         62.93            83            0
