task_id: 10
generator: _gen_two_op_task('+')
samples_per_length: 200
seed: 0

  length    accuracy     avg_steps   max_steps   visible_avg   visible_max     total_avg     total_max   n_failures
       3      1.0000          1.00           1          4.00             4          4.00             4            0
       4      1.0000          6.76           8          5.35             9          6.48            10            0
       5      1.0000          7.75          13          6.31            11          7.89            14            0
       6      1.0000         10.05          17          7.00            13          9.35            15            0
       7      1.0000         12.06          22          7.61            14         10.83            17            0
       8      1.0000         14.51          26          8.21            15         12.32            18            0
       9      1.0000         16.55          31          8.81            17         13.75            20            0
      10      1.0000         18.98          35          9.39            19         15.28            21            0
      11      1.0000         20.94          37          9.98            21         16.71            23            0
      12      1.0000         22.81          40         10.60            23         18.06            24            0
      13      1.0000         24.77          46         11.09            25         19.44            26            0
      14      1.0000         26.68          48         11.71            27         20.75            27            0
      15      1.0000         28.52          55         12.19            29         22.01            29            0
      16      1.0000         31.21          62         12.51            31         23.40            31            0
      17      1.0000         32.56          62         13.19            33         24.76            33            0
      18      1.0000         33.19          67         14.00            35         26.10            35            0
      19      1.0000         35.63          71         14.43            37         27.47            37            0
      20      1.0000         37.32          69         14.95            39         28.81            39            0
      21      1.0000         38.84          72         15.60            41         30.20            41            0
      22      1.0000         40.77          74         16.06            43         31.46            43            0
      23      1.0000         43.05          73         16.52            45         32.80            45            0
      24      1.0000         44.61          73         17.04            47         34.13            47            0
      25      1.0000         45.98          78         17.70            49         35.53            49            0
      26      1.0000         47.35          82         18.30            51         36.82            51            0
      27      1.0000         50.05          87         18.71            53         38.17            53            0
      28      1.0000         51.38          91         19.46            55         39.52            55            0
      29      1.0000         52.90         105         19.94            57         40.87            57            0
      30      1.0000         54.20         100         20.45            59         42.23            59            0
      31      1.0000         55.33         100         21.23            61         43.65            61            0
      32      1.0000         58.02         112         21.61            63         44.94            63            0
      33      1.0000         60.32         105         22.07            65         46.27            65            0
      34      1.0000         58.48         114         23.15            67         47.52            67            0
      35      1.0000         61.13         115         23.46            69         48.79            69            0
      36      1.0000         63.48         118         23.84            71         50.06            71            0
      37      1.0000         64.07         114         24.43            73         51.41            73            0
      38      1.0000         67.31         123         24.65            75         52.74            75            0
      39      1.0000         69.06         119         25.25            77         54.08            77            0
      40      1.0000         71.18         126         25.60            79         55.32            79            0
      41      1.0000         72.73         126         26.09            81         56.60            81            0
