task_id: 10
generator: _gen_two_op_task('+')
samples_per_length: 200
seed: 0
grid: l1 (rows) x l2 (cols), both in [1, 30]

# avg_steps
 l1\l2          1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30
     1       1.00      6.97      8.11      7.89     10.86     12.78     12.88     14.07     15.05     15.01     16.14     17.03     16.82     18.22     18.91     19.17     20.08     20.76     20.97     22.10     22.88     22.99     23.93     24.82     24.75     26.02     26.87     26.99     28.10     29.26
     2       6.97      8.46     12.77     13.62     14.82     16.35     18.88     19.14     19.97     21.23     20.95     22.14     23.16     22.94     23.95     24.79     24.86     25.86     26.64     27.10     27.95     29.36     29.05     30.01     30.98     31.25     31.68     32.87     33.09     33.89
     3       7.69     12.52     13.64     18.70     19.52     19.51     21.98     24.07     24.48     25.61     26.87     26.56     27.96     29.07     28.43     29.81     30.98     30.64     31.68     32.66     32.59     33.91     34.79     34.66     35.88     36.49     36.87     37.71     39.05     39.34
     4       8.22     13.89     18.57     19.68     24.50     25.78     25.25     27.48     30.00     30.09     31.32     32.48     32.59     33.18     33.93     33.87     35.48     36.91     36.87     37.37     38.02     38.36     39.38     39.91     40.81     41.28     42.48     42.70     43.58     44.23
     5      10.70     14.61     19.76     23.91     25.80     29.73     31.61     31.34     32.84     36.02     35.85     36.66     37.51     37.81     38.88     40.41     40.27     41.30     42.12     42.79     43.20     43.84     43.70     44.82     45.59     46.91     47.08     48.37     48.53     48.66
     6      12.62     16.23     19.93     24.95     29.34     30.83     35.52     36.37     36.45     38.80     40.88     41.70     42.88     43.26     44.05     44.84     46.37     45.59     46.74     47.46     47.97     48.42     49.49     48.87     49.62     50.59     51.35     52.57     53.32     53.23
     7      12.91     19.22     22.18     25.18     30.99     35.45     36.28     41.12     42.19     41.84     44.42     46.34     47.02     47.81     48.93     48.52     49.78     51.53     50.53     51.53     51.95     52.43     54.37     55.62     55.70     56.19     56.99     56.41     57.97     58.70
     8      14.12     18.89     24.41     27.57     31.47     36.26     40.28     41.16     46.26     47.97     47.84     50.27     52.68     53.47     54.38     54.83     55.40     56.38     56.12     56.77     58.02     58.40     58.82     59.53     60.59     61.51     62.35     62.55     62.72     63.84
     9      14.96     19.82     24.11     30.27     32.98     36.62     41.92     46.88     47.37     51.77     52.42     53.23     56.41     58.34     57.09     59.45     61.41     60.30     61.66     62.48     63.03     63.75     64.80     64.77     65.75     66.24     66.13     66.95     68.67     68.76
    10      14.85     20.98     25.73     30.37     35.69     38.51     41.81     47.01     51.59     52.44     57.34     58.89     60.30     61.85     63.91     64.70     64.86     66.31     65.84     67.04     68.45     68.22     69.11     69.88     69.89     70.95     71.50     71.34     72.39     73.30
    11      16.19     20.96     26.82     31.84     36.09     41.51     44.59     47.48     53.16     57.27     59.63     64.01     64.50     65.00     67.10     69.58     69.20     70.02     71.42     71.97     73.04     74.64     74.80     75.23     76.06     75.86     76.22     77.55     77.83     77.90
    12      16.58     21.70     26.27     31.52     36.71     41.62     47.14     50.26     53.56     59.52     63.42     64.08     69.36     70.52     70.56     73.68     75.21     75.36     75.95     76.60     77.66     78.52     78.83     80.92     81.72     81.44     82.07     83.15     83.78     82.84
    13      16.75     23.20     27.24     31.98     37.55     42.81     47.26     52.61     55.37     58.76     64.08     68.02     70.18     75.31     77.19     75.01     77.73     80.68     81.09     80.97     82.77     83.57     83.66     85.97     85.50     86.22     86.80     86.61     88.35     89.56
    14      18.02     23.60     28.86     33.27     37.74     43.44     47.84     53.04     58.34     61.59     64.93     69.30     74.92     75.61     81.12     81.64     82.80     84.17     86.23     87.45     87.66     88.63     88.78     88.39     89.17     90.88     90.68     93.23     92.61     94.50
    15      18.95     24.34     28.61     33.72     38.16     43.02     49.16     53.82     58.65     63.46     66.39     70.25     75.67     80.08     81.42     85.13     87.00     87.36     89.39     92.67     92.86     93.67     93.94     95.11     95.56     97.09     97.16     97.75     97.83     97.71
    16      18.74     24.80     29.61     34.12     39.76     44.35     49.33     54.75     59.08     64.63     70.09     72.83     76.35     80.44     86.44     87.34     91.66     93.25     93.66     94.48     98.38     98.12     98.06     98.92     99.91    101.24    101.95    102.23    103.19    103.98
    17      20.11     24.91     30.14     34.59     39.60     45.63     50.31     55.02     60.59     65.33     70.30     77.68     78.88     81.66     86.84     91.31     92.66     96.89     98.28     99.26    101.19    102.98    103.38    104.27    105.56    104.83    105.42    106.45    107.61    109.24
    18      20.98     26.11     30.84     35.84     40.58     45.55     51.98     54.99     60.20     66.25     71.44     74.78     80.51     83.68     88.69     93.19     97.32     97.68    103.01    103.81    103.91    106.17    109.04    110.33    110.87    110.51    110.58    112.16    112.50    113.31
    19      21.04     26.48     31.41     36.07     41.72     47.02     51.73     56.63     61.88     66.23     72.57     75.44     81.13     86.81     88.83     91.66     97.78    103.50    105.55    110.35    109.36    109.45    111.62    113.69    114.66    114.91    116.77    116.39    116.96    119.33
    20      22.16     27.41     31.97     36.59     41.76     47.59     52.15     56.41     63.41     67.59     72.86     76.94     82.92     86.14     91.75     94.64     97.84    103.67    107.95    109.30    114.50    114.72    115.59    116.73    120.13    120.82    122.08    122.92    122.87    122.72
    21      22.99     27.62     32.88     38.53     42.94     47.92     53.21     57.94     63.21     67.83     72.69     76.81     82.28     87.53     92.24     97.11    100.28    103.47    109.34    114.64    115.52    119.23    121.03    121.73    121.94    124.52    126.03    128.07    129.31    128.26
