task_id: 20
generator: _gen_two_op_task('-')
samples_per_length: 200
seed: 0

  length    accuracy     avg_steps   max_steps   visible_avg   visible_max     total_avg     total_max   n_failures
       3      1.0000          1.00           1          4.00             4          4.00             4            0
       4      1.0000          9.74          12          5.52            10          7.03            11            0
       5      1.0000         13.46          21          6.38            12          8.90            15            0
       6      1.0000         18.33          25          7.19            14         11.01            18            0
       7      1.0000         22.23          31          7.97            16         12.80            21            0
       8      1.0000         25.65          35          8.70            18         14.47            24            0
       9      1.0000         28.95          41          9.40            20         16.09            27            0
      10      1.0000         32.26          45         10.15            22         17.66            30            0
      11      1.0000         35.85          51         10.83            24         19.15            33            0
      12      1.0000         39.02          55         11.54            26         20.69            36            0
      13      1.0000         41.90          61         12.17            28         22.16            39            0
      14      1.0000         44.71          65         12.85            30         23.68            42            0
      15      1.0000         48.37          71         13.54            32         25.23            45            0
      16      1.0000         51.43          75         14.25            34         26.84            48            0
      17      1.0000         53.57          81         14.90            36         28.33            51            0
      18      1.0000         56.61          85         15.56            38         29.83            54            0
      19      1.0000         60.52          91         16.26            40         31.42            57            0
      20      1.0000         62.93          95         16.90            42         32.88            60            0
      21      1.0000         65.74         101         17.55            44         34.37            63            0
      22      1.0000         68.09         105         18.19            46         35.81            66            0
      23      1.0000         70.96         111         18.83            48         37.28            69            0
      24      1.0000         74.62         115         19.59            50         39.05            72            0
      25      1.0000         77.78         121         20.25            52         40.60            75            0
      26      1.0000         81.87         125         21.00            54         42.32            78            0
      27      1.0000         86.25         131         21.68            56         43.85            81            0
      28      1.0000         91.49         135         22.44            58         45.54            84            0
      29      1.0000         94.68         141         23.13            60         47.10            87            0
      30      1.0000         96.58         145         23.70            62         48.42            90            0
      31      1.0000         98.66         151         24.37            64         49.94            93            0
      32      1.0000        101.64         155         25.04            66         51.49            96            0
      33      1.0000        105.06         161         25.62            68         52.79            99            0
      34      1.0000        106.26         163         26.10            70         54.04           102            0
      35      1.0000        108.66         171         26.82            72         55.67           105            0
      36      1.0000        112.66         173         27.41            74         57.01           108            0
      37      1.0000        115.07         177         28.06            76         58.49           111            0
      38      1.0000        116.30         185         28.68            78         59.88           114            0
      39      1.0000        118.69         191         29.41            80         61.61           117            0
      40      1.0000        121.36         195         30.07            82         63.13           120            0
      41      1.0000        127.10         201         30.69            84         64.47           123            0
