task_id: 30
generator: _gen_two_op_task('*')
samples_per_length: 200
seed: 0

  length    accuracy     avg_steps   max_steps   visible_avg   visible_max     total_avg     total_max   n_failures
       3      1.0000          1.00           1          4.00             4          4.00             4            0
       4      1.0000          9.72          15          5.81            10          7.93            16            0
       5      1.0000         25.45          48          6.46            13         11.35            22            0
       6      1.0000         44.33          85          7.01            16         14.31            27            0
       7      1.0000         71.03         135          7.47            19         17.48            32            0
       8      1.0000        103.58         193          7.94            22         21.08            38            0
       9      1.0000        136.93         241          8.39            25         24.24            44            0
      10      1.0000        186.84         334          8.85            28         28.33            52            0
      11      1.0000        237.88         430          9.26            31         31.90            59            0
      12      1.0000        296.46         533          9.68            34         36.15            68            0
      13      1.0000        357.29         638         10.08            37         39.87            75            0
      14      1.0000        425.92         738         10.54            40         44.18            84            0
      15      1.0000        504.15         882         10.88            43         48.25            93            0
      16      1.0000        574.59        1062         11.33            46         52.76           102            0
      17      1.0000        662.75        1261         11.62            49         57.09           112            0
      18      1.0000        793.80        1324         11.77            52         63.02           123            0
      19      1.0000        922.48        1533         12.13            55         68.64           139            0
      20      1.0000       1037.61        1717         12.62            58         73.62           148            0
      21      1.0000       1147.78        1893         13.16            61         78.83           162            0
      22      1.0000       1244.49        2122         13.61            64         82.73           175            0
      23      1.0000       1304.05        2363         14.10            67         86.76           190            0
      24      1.0000       1464.28        2678         14.39            70         92.65           205            0
      25      1.0000       1641.75        2920         14.72            73         99.55           220            0
      26      1.0000       1727.52        3078         15.08            76        103.65           229            0
      27      1.0000       1956.89        3376         15.22            79        111.60           246            0
      28      1.0000       2185.01        3709         15.56            82        119.53           264            0
      29      1.0000       2349.49        4139         15.90            85        124.85           282            0
      30      1.0000       2521.41        4500         16.23            88        131.02           292            0
      31      1.0000       2741.11        4919         16.58            91        137.86           311            0
      32      1.0000       2875.11        4846         17.00            94        143.59           328            0
      33      1.0000       2970.96        5288         17.39            97        147.35           347            0
      34      1.0000       3544.45        5963         17.85           100        163.03           367            0
      35      1.0000       3728.16        6648         18.39           103        168.28           384            0
      36      1.0000       3921.72        6984         18.83           106        173.66           404            0
      37      1.0000       4076.99        7537         19.22           109        179.38           424            0
      38      1.0000       4378.41        8069         19.30           112        188.14           442            0
      39      1.0000       4646.91        8591         19.70           115        195.85           467            0
      40      1.0000       4836.94        9138         19.75           118        202.58           487            0
      41      1.0000       5087.73        9681         20.01           121        210.11           507            0
