task_id: 30
generator: _gen_two_op_task('*')
samples_per_length: 200
seed: 0
grid: l1 (rows) x l2 (cols), both in [1, 30]

# avg_steps
 l1\l2          1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30
     1       1.00      9.72     19.00     29.05     39.94     51.54     65.53     78.21     91.21    105.81    121.62    139.72    149.53    167.33    194.45    204.72    218.60    236.33    251.72    269.40    286.62    313.27    331.30    346.30    369.14    383.94    407.19    428.93    445.05    466.80
     2       9.73     34.62     59.86     84.84    112.10    144.18    176.63    210.37    241.88    270.03    307.85    345.72    379.54    424.74    459.25    489.45    529.35    578.70    610.37    661.19    712.17    744.11    783.38    820.68    868.45    937.18    976.45   1013.84   1053.63   1107.14
     3      19.78     58.42     97.83    138.91    185.24    233.62    276.65    328.51    382.96    437.80    496.00    548.03    602.49    658.74    709.72    777.10    844.30    908.23    992.17   1058.62   1117.36   1168.37   1238.40   1317.10   1379.69   1444.33   1497.28   1573.36   1646.59   1751.37
     4      29.55     83.80    138.97    194.71    254.97    319.38    381.23    450.61    527.12    597.00    674.03    756.25    831.74    908.00    993.24   1069.20   1146.69   1237.87   1307.71   1401.61   1519.12   1588.31   1674.43   1778.68   1875.67   1954.79   2066.81   2179.91   2292.55   2386.80
     5      40.67    111.11    180.17    246.56    325.93    406.38    492.96    588.61    685.28    771.33    860.89    956.92   1051.14   1150.95   1241.64   1340.27   1469.57   1579.19   1675.09   1782.55   1884.98   2013.42   2148.49   2266.84   2385.92   2509.05   2634.78   2702.70   2829.34   3006.01
     6      52.24    144.69    228.51    314.36    405.27    501.90    601.84    722.21    828.70    927.05   1043.44   1157.20   1259.31   1389.01   1530.73   1641.01   1728.95   1872.93   2047.46   2217.36   2317.14   2406.22   2560.45   2697.55   2863.14   3047.86   3158.24   3307.33   3487.22   3671.26
     7      66.26    173.47    270.17    366.30    476.77    600.53    725.26    851.61    964.07   1088.03   1237.97   1370.13   1523.66   1669.92   1805.02   1930.13   2057.55   2217.76   2368.07   2511.45   2660.29   2810.61   3030.10   3205.49   3308.07   3487.69   3643.22   3784.10   4061.19   4377.48
     8      79.95    201.24    311.84    425.82    554.18    689.79    820.72    971.59   1108.41   1238.62   1412.89   1584.86   1718.88   1879.30   2063.66   2224.34   2367.24   2551.53   2714.44   2909.83   3114.88   3261.14   3422.16   3633.42   3881.37   4107.52   4314.05   4462.95   4601.48   4840.83
     9      92.81    232.81    364.64    492.15    637.90    800.02    946.26   1095.67   1260.13   1428.94   1593.50   1767.93   1955.59   2129.59   2329.26   2480.32   2686.15   2892.97   3103.61   3317.68   3455.17   3666.73   3941.28   4132.50   4300.64   4547.27   4798.27   5054.56   5276.84   5511.10
    10     106.07    264.78    410.88    550.65    718.30    897.34   1051.62   1231.01   1425.32   1575.90   1779.34   2016.88   2208.07   2425.07   2653.59   2832.41   3015.28   3229.10   3437.55   3668.11   3886.99   4112.62   4370.91   4598.94   4887.48   5219.12   5440.28   5725.14   5971.48   6160.47
    11     123.72    302.64    455.98    607.66    795.78    985.90   1159.52   1365.31   1573.88   1779.57   1991.93   2205.84   2408.95   2625.82   2840.80   3074.38   3344.41   3544.82   3702.46   3996.27   4330.90   4576.82   4792.03   5071.85   5361.47   5626.55   5910.11   6250.44   6541.24   6821.52
    12     133.34    331.54    502.33    670.76    868.89   1075.10   1278.22   1495.44   1711.95   1933.69   2179.84   2396.70   2628.84   2898.55   3104.89   3345.61   3644.59   3871.31   4097.24   4388.01   4703.98   4971.82   5286.18   5567.68   5882.10   6277.93   6574.01   6837.12   7109.82   7403.99
    13     147.41    359.29    547.68    737.43    950.00   1154.38   1393.07   1634.89   1862.55   2105.97   2351.63   2574.28   2852.74   3153.35   3400.62   3644.74   3969.77   4292.53   4566.48   4859.89   5189.51   5517.64   5782.83   6044.97   6382.59   6681.38   7007.30   7316.40   7565.34   7906.83
    14     170.69    401.00    604.72    811.44   1034.06   1275.23   1516.72   1772.13   2038.01   2287.31   2540.80   2821.60   3067.59   3386.84   3659.80   3976.29   4313.39   4585.65   4898.95   5221.48   5587.74   5803.80   6153.48   6570.82   6778.81   7131.94   7500.14   7830.08   8232.36   8630.81
    15     182.28    435.04    645.07    853.82   1100.69   1358.12   1631.56   1908.62   2157.96   2441.47   2743.01   3010.82   3303.89   3621.08   3950.40   4276.32   4571.99   4912.42   5276.38   5559.65   5939.03   6340.29   6643.51   6997.74   7410.21   7758.36   8168.42   8592.43   8935.82   9302.19
    16     194.65    452.48    688.83    932.16   1187.79   1448.44   1731.45   2048.38   2333.05   2621.09   2938.93   3213.55   3534.52   3896.91   4171.48   4469.06   4920.64   5285.02   5586.31   6010.83   6328.48   6658.22   7105.46   7484.40   7903.14   8272.80   8612.52   9089.11   9503.77   9893.47
    17     210.37    498.17    742.18   1001.58   1265.90   1541.28   1839.56   2167.39   2503.82   2815.64   3116.85   3457.09   3810.88   4151.52   4484.30   4852.73   5251.05   5601.65   5970.16   6354.56   6715.96   7102.36   7600.39   8035.02   8376.58   8752.40   9244.62   9689.91  10137.25  10590.45
    18     219.06    530.25    797.60   1060.43   1354.85   1657.63   1963.14   2287.53   2643.57   2975.26   3310.70   3683.24   4021.28   4372.14   4758.57   5156.22   5508.06   5877.10   6316.02   6777.65   7202.44   7594.35   8045.66   8500.42   8919.44   9384.42   9830.62  10339.23  10807.07  11191.01
    19     253.35    575.65    853.40   1135.08   1457.39   1771.52   2097.23   2402.28   2759.95   3125.20   3512.64   3875.30   4267.44   4711.31   5040.13   5389.07   5824.66   6234.52   6717.48   7223.11   7700.69   8150.69   8478.06   8895.91   9416.39   9917.55  10433.24  10816.92  11281.93  11811.83
    20     265.86    611.70    885.21   1182.64   1538.97   1873.25   2203.10   2564.52   2933.91   3293.23   3676.33   4071.27   4498.02   4934.09   5378.98   5746.02   6147.82   6619.91   7068.31   7527.69   7974.65   8463.12   8917.08   9403.25   9898.03  10292.28  10780.55  11412.42  12065.21  12595.34
    21     276.16    649.13    950.27   1238.72   1615.03   1993.57   2337.62   2732.01   3101.16   3479.48   3897.89   4320.53   4701.60   5140.43   5566.76   6026.66   6496.44   7012.14   7460.23   7925.98   8415.44   8856.20   9433.01  10011.25  10522.79  10981.80  11387.87  12004.19  12579.57  13078.97
    22     297.81    686.22   1014.85   1333.94   1693.74   2079.43   2440.82   2849.93   3286.49   3682.88   4128.88   4529.46   4946.53   5396.53   5860.01   6345.65   6811.07   7215.03   7675.17   8256.62   8829.77   9334.88   9875.19  10446.21  11019.42  11559.42  12069.80  12519.70  13003.85  13626.82
    23     319.99    738.57   1056.15   1392.06   1794.92   2181.82   2577.18   2997.11   3431.55   3852.89   4279.13   4729.59   5197.40   5643.67   6108.52   6675.69   7120.17   7614.65   8173.30   8784.61   9240.20   9601.02  10166.52  10812.64  11327.14  11953.33  12651.08  13074.99  13668.46  14437.36
    24     355.39    773.32   1146.06   1499.45   1843.78   2282.41   2700.24   3091.30   3567.80   4029.34   4525.84   5010.05   5430.86   5918.39   6362.64   6881.64   7453.38   7919.20   8409.53   9038.30   9654.59  10265.65  10820.03  11360.00  11810.78  12464.67  13174.72  13789.63  14468.22  15142.09
    25     361.87    825.38   1177.15   1530.32   1953.28   2372.70   2849.68   3304.00   3757.09   4223.38   4683.76   5181.58   5690.31   6200.81   6714.28   7279.31   7824.98   8349.83   8801.15   9301.82   9919.78  10637.75  11216.01  11764.81  12315.30  12904.29  13652.77  14234.50  15010.96  15847.53
    26     366.55    847.65   1224.33   1614.97   2044.48   2468.61   2906.62   3420.30   3922.49   4417.73   4925.31   5403.86   5935.56   6525.04   6988.85   7409.06   8010.11   8599.45   9192.68   9847.83  10572.34  11139.75  11545.01  12255.07  13044.19  13619.25  14151.73  14689.63  15477.28  16261.62
    27     382.16    896.47   1307.27   1695.11   2112.28   2556.30   3034.14   3534.35   4029.38   4529.19   5093.99   5603.19   6139.67   6689.69   7242.82   7798.71   8371.78   9020.27   9588.67  10190.33  10917.86  11474.50  12120.09  12904.67  13614.00  14266.18  14734.67  15295.26  16107.74  16806.78
    28     404.15    935.29   1331.89   1740.96   2210.07   2695.67   3194.64   3724.21   4222.07   4709.38   5234.95   5826.38   6387.77   6967.49   7486.47   8098.82   8809.20   9389.25  10007.91  10663.59  11321.78  11968.35  12663.27  13477.12  13953.17  14597.57  15401.00  16112.38  16906.52  17551.54
    29     449.44    977.24   1400.46   1830.52   2313.00   2857.09   3343.41   3835.11   4359.13   4923.00   5511.41   6048.49   6599.42   7257.93   7847.14   8458.10   9007.40   9692.88  10431.90  11031.85  11592.30  12275.64  12974.35  13787.45  14460.31  15222.94  16061.73  16663.55  17356.67  18273.01
    30     456.10   1024.96   1452.53   1875.43   2405.35   2913.99   3469.21   3994.39   4506.16   5083.98   5661.35   6227.25   6864.82   7528.40   8111.64   8712.21   9363.80  10046.53  10774.05  11434.07  12144.25  12782.92  13496.30  14221.68  15020.83  15944.55  16595.66  17384.51  18056.51  18796.89

# max_steps
 l1\l2          1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30
