task_id: 40
generator: _gen_two_op_task('/')
samples_per_length: 200
seed: 0

  length    accuracy     avg_steps   max_steps   visible_avg   visible_max     total_avg     total_max   n_failures
       3      1.0000        196.81         561          6.94            20         18.28            38            0
       4      1.0000        283.73         743          7.68            22         23.87            41            0
       5      1.0000        371.94         837          8.32            27         28.87            47            0
       6      1.0000        451.83         899          8.70            29         32.30            52            0
       7      1.0000        553.89        1210          9.10            32         35.80            57            0
       8      1.0000        620.89        1458          9.53            34         38.85            62            0
       9      1.0000        747.61        1610          9.98            37         42.68            67            0
      10      1.0000        813.83        1992         10.55            39         46.51            72            0
      11      1.0000        939.95        2027         10.98            42         50.16            77            0
      12      1.0000       1019.66        2600         11.33            44         53.31            82            0
      13      1.0000       1176.58        2567         11.82            47         57.26            88            0
      14      1.0000       1301.20        2998         12.31            49         61.16            94            0
      15      1.0000       1351.83        3508         12.81            52         64.54           100            0
      16      1.0000       1483.51        3729         13.17            54         67.90           106            0
      17      1.0000       1676.44        4179         13.70            57         72.01           112            0
      18      1.0000       1864.79        4435         14.14            59         75.95           118            0
      19      1.0000       1971.74        4583         14.44            62         79.36           124            0
      20      1.0000       2100.76        4868         15.07            64         83.61           130            0
      21      1.0000       2287.15        5320         15.22            67         86.43           136            0
      22      1.0000       2502.53        5718         15.69            69         90.62           142            0
      23      1.0000       2724.48        6378         15.98            72         94.41           148            0
      24      1.0000       2874.46        6386         16.46            74         98.30           154            0
      25      1.0000       2990.83        6604         17.24            77        102.83           160            0
      26      1.0000       3037.18        7060         17.81            79        106.28           166            0
      27      1.0000       2966.47        7668         18.27            82        109.14           172            0
      28      1.0000       3262.32        8286         18.76            84        113.73           178            0
      29      1.0000       3451.34        8364         19.13            87        117.28           184            0
      30      1.0000       3778.38        9110         19.59            89        121.67           190            0
      31      1.0000       3964.09        8747         19.83            92        125.42           196            0
      32      1.0000       4196.58        9682         20.36            94        129.86           202            0
      33      1.0000       4358.05       10252         20.67            97        133.31           208            0
      34      1.0000       5048.66        9787         20.31            99        136.29           214            0
      35      1.0000       5138.45       12545         20.58           102        138.74           220            0
      36      1.0000       5282.78       11475         21.31           104        143.14           226            0
      37      1.0000       5443.03       13240         21.92           107        147.63           232            0
      38      1.0000       5755.89       12786         22.67           109        152.51           238            0
      39      1.0000       6022.66       13696         23.48           112        156.58           244            0
      40      1.0000       6120.32       13649         23.88           114        160.55           250            0
      41      1.0000       6331.31       13976         24.38           117        164.46           256            0
