task_id: 40
generator: _gen_two_op_task('/')
samples_per_length: 200
seed: 0
grid: l1 (rows) x l2 (cols), both in [1, 30]

# avg_steps
 l1\l2          1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30
     1     191.69    300.68    300.76    243.96    240.54    252.05    287.25    300.39    332.83    373.06    388.19    400.96    425.71    440.34    466.01    491.55    534.12    533.04    551.50    581.85    615.57    646.71    676.36    683.32    716.84    731.77    756.07    790.17    818.52    826.96
     2     292.96    427.37    510.30    534.30    369.49    346.15    396.51    416.57    447.85    488.88    520.11    538.76    591.44    611.30    642.09    684.73    714.17    732.56    785.92    806.35    836.65    877.96    908.33    928.53    980.29   1000.55   1030.12   1070.76   1100.79   1122.89
     3     411.17    561.34    699.54    782.82    635.91    457.98    482.02    504.39    540.17    589.69    624.31    649.47    710.91    737.43    774.26    823.02    857.39    882.40    945.88    969.51   1005.12   1055.48   1090.01   1111.97   1173.96   1199.89   1234.40   1284.70   1322.39   1347.06
     4     489.72    701.37    918.12   1050.67    951.82    799.82    628.86    598.04    642.18    700.55    743.11    770.33    843.15    872.19    912.77    970.92   1013.81   1040.89   1112.25   1142.04   1184.10   1239.77   1282.06   1312.20   1383.62   1411.64   1453.12   1509.97   1550.50   1577.08
     5     588.41    822.15   1063.52   1302.07   1210.35   1080.56    999.78    757.92    738.49    804.95    854.86    885.26    963.72    996.59   1048.30   1112.81   1158.32   1192.38   1275.73   1310.40   1358.54   1422.35   1470.08   1502.12   1584.37   1615.57   1663.62   1726.75   1777.65   1809.81
     6     678.19    949.62   1300.98   1568.70   1516.61   1417.06   1331.78   1142.28    901.33    910.90    964.12    998.61   1090.29   1125.31   1184.42   1261.00   1313.63   1348.69   1438.96   1473.74   1530.69   1601.79   1653.64   1690.89   1782.15   1819.35   1873.62   1947.90   2003.46   2039.76
     7     777.65   1085.68   1522.58   1877.73   1822.08   1764.59   1691.95   1510.08   1320.65   1089.76   1083.61   1122.19   1220.82   1259.94   1319.99   1405.27   1465.49   1504.33   1608.21   1647.89   1706.91   1791.47   1847.77   1888.47   1992.47   2029.61   2088.96   2172.48   2233.17   2274.84
     8     867.53   1226.75   1684.50   2088.91   2107.45   2080.28   2023.21   1872.85   1726.38   1538.91   1260.70   1238.23   1352.17   1396.74   1461.69   1548.75   1619.11   1665.83   1771.40   1810.61   1882.76   1977.34   2037.06   2078.33   2190.15   2236.99   2303.96   2392.32   2462.91   2512.08
     9     945.25   1320.18   1866.98   2404.78   2356.66   2390.66   2401.09   2303.59   2185.34   2027.74   1771.26   1437.77   1479.77   1527.71   1601.54   1700.14   1769.94   1816.35   1935.61   1984.29   2058.36   2157.87   2226.52   2271.71   2398.11   2447.74   2522.70   2621.20   2698.54   2744.09
    10    1050.13   1470.22   2047.81   2545.25   2671.51   2675.11   2774.30   2705.91   2605.39   2451.89   2243.95   1983.35   1699.62   1667.18   1750.10   1852.30   1928.60   1981.61   2112.74   2164.97   2248.84   2354.29   2424.35   2471.16   2602.09   2657.33   2740.07   2842.03   2920.69   2973.35
