task_id: 50
generator: gen_task_6_multi_no_paren_NOequation
samples_per_length: 200
seed: 0

  length    accuracy     avg_steps   max_steps   visible_avg   visible_max     total_avg     total_max   n_failures
       5      1.0000          7.36          18          5.20            10          6.16            16            0
       6      1.0000         18.50          44          5.89            13          8.53            22            0
       7      1.0000         20.34          90          6.11            15          8.95            25            0
       8      1.0000         32.15         106          6.51            17         10.89            29            0
       9      1.0000         36.42         158          6.69            19         11.31            32            0
      10      1.0000         51.59         253          7.01            22         13.40            40            0
      11      1.0000         67.75         372          7.30            26         14.83            48            0
      12      1.0000         76.92         423          7.56            27         16.08            50            0
      13      1.0000         97.91         480          7.64            29         17.46            57            0
      14      1.0000        115.64         688          7.97            31         19.29            68            0
      15      1.0000        133.60         702          7.99            32         19.76            74            0
      16      1.0000        144.95         814          8.24            36         21.26            74            0
      17      1.0000        141.97        1005          8.28            38         20.94            93            0
      18      1.0000        166.13        1062          8.49            40         23.09            91            0
      19      1.0000        180.26        1312          8.61            43         23.75           102            0
      20      1.0000        198.28         867          8.69            42         25.65            96            0
      21      1.0000        200.59        1781          8.83            47         25.72           127            0
      22      1.0000        248.70        2123          8.96            49         27.72           137            0
      23      1.0000        261.74        2334          9.10            53         28.66           147            0
      24      1.0000        293.99        2197          9.11            53         30.64           138            0
      25      1.0000        307.02        2844          9.31            54         30.85           161            0
      26      1.0000        329.22        2929          9.45            56         32.55           155            0
      27      1.0000        395.31        3285          9.58            67         35.03           221            0
      28      1.0000        370.50        3178          9.82            62         35.57           199            0
      29      1.0000        351.95        4036          9.80            69         34.81           251            0
      30      1.0000        400.16        4110         10.07            68         36.62           242            0
      31      1.0000        439.17        4230         10.07            58         37.78           178            0
      32      1.0000        442.57        4218          9.97            73         38.56           273            0
      33      1.0000        508.58        4743         10.09            73         40.63           252            0
      34      1.0000        489.57        6148         10.11            75         40.11           278            0
      35      1.0000        551.32        6280         10.39            77         41.65           296            0
      36      1.0000        597.01        5989         10.39            79         44.29           299            0
      37      1.0000        645.50        7377         10.48            88         45.95           366            0
      38      1.0000        676.85        8062         10.72            79         47.30           288            0
      39      1.0000        731.80        7560         10.69            88         48.66           375            0
      40      1.0000        783.29        8275         10.67            83         51.49           306            0
