task_id: 60
generator: gen_task_7_multi_paren_NOequation
samples_per_length: 200
seed: 0

  length    accuracy     avg_steps   max_steps   visible_avg   visible_max     total_avg     total_max   n_failures
       5      1.0000          4.86           8          4.95             8          5.58             9            0
       6      1.0000         10.68          18          5.98            12          8.03            17            0
       7      1.0000          7.16          18          5.87            10          6.71            16            0
       8      1.0000         18.40          49          6.09            13          8.69            21            0
       9      1.0000         20.61          71          6.41            14          9.22            25            0
      10      1.0000         34.45         121          6.70            19         11.19            30            0
      11      1.0000         29.02         198          6.89            20         10.36            37            0
      12      1.0000         45.51         266          6.94            24         12.31            41            0
      13      1.0000         52.23         275          7.12            24         12.91            49            0
      14      1.0000         64.94         356          7.38            26         14.63            47            0
      15      1.0000         48.28         261          7.56            24         13.13            49            0
      16      1.0000         72.23         540          7.58            30         15.25            61            0
      17      1.0000         81.43         635          7.69            33         15.73            69            0
      18      1.0000        103.83         852          7.79            34         17.30            75            0
      19      1.0000         89.95         696          8.14            33         16.69            74            0
      20      1.0000        110.77        1055          8.10            39         18.44            93            0
      21      1.0000        109.56         836          8.28            34         18.82            74            0
      22      1.0000        133.38         696          8.27            35         20.24            83            0
      23      1.0000        122.59        1466          8.51            54         19.09           101            0
      24      1.0000        155.77        1649          8.51            56         21.53           103            0
      25      1.0000        166.79        1122          8.73            50         22.18           117            0
      26      1.0000        179.45        2565          8.71            62         23.26           149            0
      27      1.0000        174.28        2619          8.98            59         22.43           175            0
      28      1.0000        197.34        2968          8.83            64         23.78           195            0
      29      1.0000        216.39        3508          8.95            59         24.71           186            0
      30      1.0000        233.62        1848          8.99            52         26.29           163            0
      31      1.0000        213.03        3353          9.35            67         25.54           217            0
      32      1.0000        290.71        4400          9.19            69         28.40           238            0
      33      1.0000        240.75        2405          9.32            53         26.66           156            0
      34      1.0000        300.67        4752          9.26            72         28.61           269            0
      35      1.0000        267.93        3204          9.54            54         28.47           145            0
      36      1.0000        323.00        2940          9.54            66         31.17           171            0
      37      1.0000        385.40        6344          9.79            75         32.65           252            0
      38      1.0000        417.61        3673          9.86            67         34.92           190            0
      39      1.0000        337.99        5190         10.27            75         32.88           258            0
      40      1.0000        349.24        3387          9.90            66         33.16           212            0
